web-scraper-order,web-scraper-start-url,details,prix,address,image_lien,image_lien-href
"1708633292-18","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","Vente de terrain à Diamniadio
                        Plateau
                      

                      
                        
                          
						  


 
    784312184
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-19","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","4 500 000 FCFA
                        Terrains à Diakhaye cité Safco
                        Plateau
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-20","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","3 600 000 FCFA
                        Terrains à Tivaoune Peulh près de la plage
                        Plateau
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-21","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","25 000 000 FCFA
                        terrain a vendre 
                        Plateau
                      

                      
                        
                          
						  


 
    775049453
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-22","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","1 500 000 FCFA
                        TERRAINS A VENDRE A NDIAKHIRATE
                        Rufisque
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-23","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","200 000 000 FCFA
                        VENTE DE TERRAIN
                        Mbour
                      

                      
                        
                          
						  


 
    772662262
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-24","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","40 000 000 FCFA
                        Vente de terrains
                        Mbour
                      

                      
                        
                          
						  


 
    772662262
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-25","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","1 500 000 FCFA
                        terrain a vendre 
                        Rufisque
                      

                      
                        
                          
						  


 
    775049453
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-26","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","15 000 FCFA
                         Terrains TF à Bambilor
                        Plateau
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-27","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","2 700 000 FCFA
                        Urgence Terrains 100 parcelles à Tivaoune Peulh coté VDN
                        Plateau
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-28","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","1 700 000 FCFA
                        Promotion Terrains Magal Touba 2018 
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-29","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","9 500 000 FCFA
                        Yeumbeule Terrains A Vendre
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-30","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","60 000 000 FCFA
                        Almadie Lot de Terrains A Vendre
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-31","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","1 500 000 FCFA
                        Promotion Terrain Diass Aéroport 
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-32","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","12 000 000 FCFA
                        Ndayane Terrain 400m² Vue Mer A Vendre
                        Mbour
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-33","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","1 700 000 FCFA
                        Promotion Magal Touba 2018 Terrains A Vendre
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-34","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","9 000 000 FCFA
                        Rufisque Terrain 190m² A Vendre
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-35","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","3 500 000 FCFA
                        Diass Aeroport ( Landou ) Terrains A Vendre
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-36","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","4 000 000 FCFA
                        Diamniadio Lot de Terrains A Vendre
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-37","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","1 500 000 FCFA
                        Diass Aeroport ( Thicky ) Terrains A Vendre
                        Plateau
                      

                      
                        
                          
						  


 
    774723946
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-38","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","10 000 FCFA
                        DES TERRAINS A VENDRE
                        Plateau
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-39","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","2 500 000 FCFA
                        Vends terrain 150m2 à Bambilor
                        Plateau
                      

                      
                        
                          
						  


 
    778443945
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-40","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","12 000 FCFA
                        Terrain à vendre à partir de 1 ha, vue sur la lagune.
                        Mbour
                      

                      
                        
                          
						  


 
    768318289
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-41","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","1 000 000 FCFA
                        Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)
                        Rufisque
                      

                      
                        
                          
						  


 
    775067090","","","",""
"1708633292-42","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","18 000 000 FCFA
                        Vente terrain 
                        Thiès
                      

                      
                        
                          
						  


 
    706462690","","","",""
"1708633292-43","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","230 000 000 FCFA
                        Terrain à vendre Zone B
                        Plateau
                      

                      
                        
                          
						  


 
    782956666","","","",""
"1708633292-44","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","28 000 000 FCFA
                        TERRAIN  A VENDRE CITTE DALAL DIAM
                        Guédiawaye
                      

                      
                        
                          
						  


 
    772637296
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-45","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","2 000 000 FCFA
                        Terrain urgent a vendre
                        Plateau
                      

                      
                        
                          
						  


 
    776042268
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-46","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","18 000 000 FCFA
                        TERRAIN A VENDRE A MALIBU GOLF
                        Guédiawaye
                      

                      
                        
                          
						  


 
    772637296
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-47","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","3 000 000 FCFA
                        Lot de terrains de 225 m² à diass
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-48","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","2 500 000 FCFA
                         Terrain à kayar
                        Plateau
                      

                      
                        
                          
						  


 
    Téléphone
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-49","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","4 500 000 FCFA
                        TERRAINS A VENDRE A GUEDE TOUBA
                        Diourbel
                      

                      
                        
                          
						  


 
    772637296
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-50","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","8 500 000 FCFA
                        TERRAINS A VENDRE
                        Guédiawaye
                      

                      
                        
                          
						  


 
    772637296
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-51","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","120 000 000 FCFA
                        Terrain
                        Thiès
                      

                      
                        
                          
						  


 
    781122644
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-52","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","6 500 000 FCFA
                        Terrains viabilisés à vendre!
                        Plateau
                      

                      
                        
                          
						  


 
    00221775106252
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633292-53","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","7 500 000 FCFA","","",""
"1708633292-54","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","1 300 000 FCFA","","",""
"1708633292-55","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","30 000 000 FCFA","","",""
"1708633292-56","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","35 000 000 FCFA","","",""
"1708633292-57","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","2 700 000 FCFA","","",""
"1708633292-58","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","60 000 000 FCFA","","",""
"1708633292-59","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","4 000 000 FCFA","","",""
"1708633292-60","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","",""
"1708633292-61","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","4 500 000 FCFA","","",""
"1708633292-62","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","3 600 000 FCFA","","",""
"1708633292-63","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","25 000 000 FCFA","","",""
"1708633292-64","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","1 500 000 FCFA","","",""
"1708633292-65","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","200 000 000 FCFA","","",""
"1708633292-66","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","40 000 000 FCFA","","",""
"1708633292-67","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","1 500 000 FCFA","","",""
"1708633292-68","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","15 000 FCFA","","",""
"1708633292-69","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","2 700 000 FCFA","","",""
"1708633292-70","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","1 700 000 FCFA","","",""
"1708633292-71","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","9 500 000 FCFA","","",""
"1708633292-72","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","60 000 000 FCFA","","",""
"1708633292-73","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","1 500 000 FCFA","","",""
"1708633292-74","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","12 000 000 FCFA","","",""
"1708633292-75","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","1 700 000 FCFA","","",""
"1708633292-76","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","9 000 000 FCFA","","",""
"1708633292-77","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","3 500 000 FCFA","","",""
"1708633292-78","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","4 000 000 FCFA","","",""
"1708633292-79","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","1 500 000 FCFA","","",""
"1708633292-80","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","10 000 FCFA","","",""
"1708633292-81","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","2 500 000 FCFA","","",""
"1708633292-82","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","12 000 FCFA","","",""
"1708633292-83","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","1 000 000 FCFA","","",""
"1708633292-84","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","18 000 000 FCFA","","",""
"1708633292-85","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","230 000 000 FCFA","","",""
"1708633292-86","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","28 000 000 FCFA","","",""
"1708633292-87","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","2 000 000 FCFA","","",""
"1708633292-88","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","18 000 000 FCFA","","",""
"1708633292-89","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","3 000 000 FCFA","","",""
"1708633292-90","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","2 500 000 FCFA","","",""
"1708633292-91","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","4 500 000 FCFA","","",""
"1708633292-92","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","8 500 000 FCFA","","",""
"1708633292-93","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","120 000 000 FCFA","","",""
"1708633292-94","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","6 500 000 FCFA","","",""
"1708633292-95","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","TERRAINS À VENDRE","",""
"1708633292-96","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-2381-terrain-150m2-titre-foncier-kounoune.html"
"1708633292-97","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-2379-terrains-225m2-yenn-vue-sur-mer-et-aroport-aibd.html"
"1708633292-98","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-2227-verger-de-1-hectar-a-vendre-bayakhe.html"
"1708633292-99","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-2113-ouakam-terrain.html"
"1708633292-100","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1910-terrains-bambilor-kounoune-sendou-keur-moussa.html"
"1708633292-101","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1822-verger-07-ha-vers-tivaouane.html"
"1708633292-102","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1526-terrain.html"
"1708633292-103","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1522-vente-de-terrain-diamniadio.html"
"1708633292-104","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1501-terrains-diakhaye-cit-safco.html"
"1708633292-105","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1500-terrains-tivaoune-peulh-prs-de-la-plage.html"
"1708633292-106","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1433-terrain-a-vendre.html"
"1708633292-107","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1404-terrains-a-vendre-a-ndiakhirate.html"
"1708633292-108","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1278-vente-de-terrain.html"
"1708633292-109","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1277-vente-de-terrains.html"
"1708633292-110","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1252-terrain-a-vendre.html"
"1708633292-111","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-850-terrains-tf-bambilor.html"
"1708633292-112","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-851-urgence-terrains-100-parcelles-tivaoune-peulh-cot-vdn.html"
"1708633292-113","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1068-promotion-terrains-magal-touba-2018.html"
"1708633292-114","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1067-yeumbeule-terrains-a-vendre.html"
"1708633292-115","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1066-almadie-lot-de-terrains-a-vendre.html"
"1708633292-116","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1058-promotion-terrain-diass-aroport.html"
"1708633292-117","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1055-ndayane-terrain-400m-vue-mer-a-vendre.html"
"1708633292-118","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1054-promotion-magal-touba-2018-terrains-a-vendre.html"
"1708633292-119","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1001-rufisque-terrain-190m-a-vendre.html"
"1708633292-120","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-1000-diass-aeroport-landou-terrains-a-vendre.html"
"1708633292-121","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-998-diamniadio-lot-de-terrains-a-vendre.html"
"1708633292-122","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-996-diass-aeroport-thicky-terrains-a-vendre.html"
"1708633292-123","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-982-des-terrains-a-vendre.html"
"1708633292-124","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-978-vends-terrain-150m2-bambilor.html"
"1708633292-125","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-940-terrain-vendre-partir-de-1-ha-vue-sur-la-lagune.html"
"1708633292-126","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-849-terrains-de-150-m2-almadies-2-zac-mbao-cot-d-page.html"
"1708633292-127","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-839-vente-terrain.html"
"1708633292-128","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-814-terrain-vendre-zone-b.html"
"1708633292-129","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-674-terrain-a-vendre-citte-dalal-diam.html"
"1708633292-130","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-724-terrain-vague.html"
"1708633292-131","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-699-terrain-a-vendre-a-malibu-golf.html"
"1708633292-132","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-39-lot-de-terrains-de-225-m-diass.html"
"1708633292-133","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-40-terrain-kayar.html"
"1708633292-134","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-672-terrains-a-vendre-a-guede-touba.html"
"1708633292-135","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-671-terrains-a-vendre.html"
"1708633292-136","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-615-terrain.html"
"1708633292-137","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=43","","","","","https://www.dakarvente.com/annonce-370-terrains-viabiliss-vendre.html"
"1708633319-138","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","2 900 000 FCFA
                        Terrain à vendre
                        Mbour
                      

                      
                        
                          
						  


 
    771133328
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633319-139","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","3 500 000 FCFA
                        Terrain à Diamniadio
                        Diamniadio
                      

                      
                        
                          
						  


 
    773029242
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633319-140","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","180 000 000 FCFA
                        Terrain de 367m² a cité keur Gorgui
                        VDN
                      

                      
                        
                          
						  


 
    776451627
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633319-141","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","15 000 FCFA
                        100 hectares a mbambilor
                        Rufisque
                      

                      
                        
                          
						  


 
    776451627
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633319-142","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","1 300 000 FCFA
                        Terrain Fann Résidence Pied dans l'eau
                        Fann
                      

                      
                        
                          
						  


 
    762608766","","","",""
"1708633319-143","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","29 000 FCFA
                        A vendre un terrain à Niague
                        Rufisque
                      

                      
                        
                          
						  


 
    775594378
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633319-144","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","14 000 000 FCFA
                        Terrain à vendre
                        Rufisque
                      

                      
                        
                          
						  


 
    779490267
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633319-145","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","18 000 000 FCFA
                        Terrain à vendre à la cité sipres
                        Rufisque
                      

                      
                        
                          
						  


 
    770861295
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
"1708633319-146","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=42","1 000 000 FCFA
                        Des terrain a vendre 
                        Rufisque
                      

                      
                        
                          
						  


 
    770861295
	
	
	
	

  
  Whatsapp
  	
	
	
    Whatsapp","","","",""
